Rk,School,Conf,AP_Rank,Overall_W,Overall_L,SRS_OSRS,SRS_DSRS,SRS_SRS,Scoring_Off,Scoring_Def,Passing_Off,Passing_Def,Rushing_Off,Rushing_Def,Total_Off,Total_Def,WinPct,MOV,Season,Team,Points_For,Points_Against,Total_Wins,PregameElo_Mean,PregameElo_Start,PostgameElo_End,Excitement,Elo_Delta,AP_Pre,AP_High,ConfStrengthDiff,PollRankGap,SOS
1,Oregon,Pac-12 (North),2.0,13,2,14.36,7.86,22.22,61.16,5.13,11.41,5.1,6.57,3.39,8.58,4.13,0.8666666666666667,56.029999999999994,2014,Oregon,681.0,354.0,13,1957.857142857143,1910.0,1880.0,2.8875189600666666,-30.0,3.0,2.0,0.02200000000000002,1.0,6.02
2,Ohio State,Big Ten (East),1.0,14,1,13.44,7.0,20.44,62.75,5.78,10.71,4.44,6.98,2.61,8.38,3.52,0.9333333333333333,56.97,2014,Ohio State,672.0,330.0,14,2005.8666666666666,2021.0,1991.0,3.5482126178,-30.0,5.0,1.0,0.06699999999999995,4.0,5.17
3,Alabama,SEC (West),4.0,12,2,9.46,10.88,20.34,57.12,-0.11,10.71,4.5,6.35,1.96,8.23,3.4,0.8571428571428571,57.23,2014,Alabama,517.0,258.0,12,2021.2307692307693,1952.0,1952.0,4.157294116928571,0.0,2.0,1.0,0.018000000000000016,-2.0,7.27
5,Georgia,SEC (East),9.0,10,3,10.88,7.96,18.84,59.13,3.93,9.85,4.09,7.3,3.12,8.27,3.6,0.7692307692307693,55.2,2014,Georgia,537.0,269.0,10,1926.9166666666667,2015.0,2020.0,3.3068492524615385,5.0,12.0,6.0,-0.019000000000000017,3.0,5.07
6,Ole Miss,SEC (West),17.0,9,4,0.87,15.93,16.8,47.62,-4.36,9.79,4.17,5.63,2.19,7.51,3.13,0.6923076923076923,51.98,2014,Ole Miss,368.0,208.0,9,1837.1666666666667,1941.0,1898.0,3.656558946846154,-43.0,18.0,3.0,-0.06699999999999995,1.0,8.11
7,Michigan State,Big Ten (East),5.0,11,2,9.76,6.31,16.07,56.98,6.56,10.02,5.23,6.16,2.02,7.73,3.85,0.8461538461538461,50.419999999999995,2014,Michigan State,559.0,280.0,11,1898.0833333333333,1927.0,1859.0,2.517373750384615,-68.0,8.0,5.0,0.029000000000000026,3.0,1.68
8,Georgia Tech,ACC (Coastal),8.0,11,3,13.44,2.48,15.92,55.23,9.17,10.98,6.13,7.24,3.8,8.1,4.96,0.7857142857142857,46.059999999999995,2014,Georgia Tech,530.0,360.0,11,1718.7692307692307,1701.0,1646.0,4.445178317,-55.0,,8.0,-0.03600000000000003,,4.78
9,Mississippi State,SEC (West),11.0,10,3,8.49,6.55,15.04,55.06,4.93,10.35,5.02,6.32,3.08,8.02,4.27,0.7692307692307693,50.13,2014,Mississippi State,480.0,282.0,10,1841.8333333333333,1891.0,1807.0,3.2009709749999997,-84.0,,1.0,-0.019000000000000017,,4.81
10,Auburn,SEC (West),22.0,8,5,11.92,3.07,14.99,56.34,6.61,11.13,4.96,6.77,3.07,8.31,3.96,0.6153846153846154,49.730000000000004,2014,Auburn,461.0,347.0,8,1875.75,1938.0,1938.0,4.087992497384615,0.0,6.0,2.0,-0.11499999999999999,-16.0,9.06
11,Baylor,Big 12,7.0,11,2,13.69,1.28,14.97,62.06,10.54,10.45,6.14,5.47,2.31,7.75,4.13,0.8461538461538461,51.52,2014,Baylor,627.0,332.0,11,1999.1666666666667,1932.0,1998.0,3.2080369351538462,66.0,10.0,4.0,0.04300000000000004,3.0,0.59
