,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Georgia,SEC (East),1,14,1,5.85,18.77,24.62,56.58,-8.14,11.11,3.59,6.84,0.97,8.59,2.52
2,Michigan,Big Ten (East),3,12,2,9.68,10.12,19.80,55.61,-0.02,10.39,4.35,6.76,2.35,8.13,3.44
3,Alabama,SEC (West),2,13,2,11.88,7.75,19.62,58.67,1.83,11.03,4.94,5.62,1.20,8.24,3.11
4,Ohio State,Big Ten (East),6,11,2,14.31,5.23,19.53,64.59,5.93,12.05,4.83,7.05,2.43,9.60,3.81
5,Notre Dame,Ind,8,11,2,8.49,7.82,16.31,52.64,3.11,9.80,5.00,5.47,2.59,7.57,3.86
6,Cincinnati,American,4,13,1,5.93,9.42,15.34,50.66,2.59,10.08,4.22,6.46,2.67,7.98,3.40
7,Oklahoma State,Big 12,7,12,2,4.66,9.90,14.57,48.12,0.93,8.81,4.42,5.63,1.07,6.85,2.91
8,Michigan State,Big Ten (East),9,11,2,9.07,5.34,14.41,49.29,6.45,10.19,5.26,6.25,2.40,7.90,4.01
9,Wisconsin,Big Ten (West),,9,4,2.18,11.69,13.87,46.53,-0.33,9.04,4.44,6.35,1.01,7.24,2.90
10,Baylor,Big 12,5,12,2,3.59,9.91,13.50,47.25,1.38,9.47,5.38,6.90,1.86,7.81,3.67
11,Pitt,ACC (Coastal),13,11,3,8.83,3.49,12.32,54.11,8.00,9.87,5.82,4.97,1.31,7.43,3.73
12,Utah,Pac-12 (South),12,10,4,7.83,4.43,12.26,50.69,6.88,9.24,5.08,6.65,2.43,7.66,3.83
13,Oklahoma,Big 12,10,11,2,10.13,1.63,11.75,55.09,9.31,10.18,5.66,6.96,2.21,8.37,4.14
14,Arkansas,SEC (West),21,9,4,5.88,5.66,11.54,48.72,5.49,10.85,5.48,6.61,2.71,8.00,3.91
15,Clemson,ACC (Atlantic),14,10,3,-0.61,12.04,11.43,42.78,-1.29,7.66,4.45,6.10,1.62,6.73,3.14
16,Ole Miss,SEC (West),11,10,3,8.27,3.16,11.43,51.07,7.12,10.18,4.87,6.41,3.11,7.89,3.93
17,Wake Forest,ACC (Atlantic),15,11,3,14.35,-3.07,11.28,56.60,14.06,9.69,5.61,5.29,3.64,7.31,4.66
18,Penn State,Big Ten (East),,7,6,2.42,8.80,11.22,43.91,0.35,9.14,4.34,4.88,2.41,6.98,3.40
19,Texas A&M,SEC (West),,8,4,0.53,10.25,10.77,44.76,0.58,8.53,4.17,6.63,2.63,7.42,3.44
20,Purdue,Big Ten (West),,9,4,4.33,6.25,10.58,48.07,4.63,10.30,5.39,4.47,2.94,7.72,4.20
21,North Carolina State,ACC (Atlantic),20,9,3,3.23,6.99,10.22,47.29,3.95,9.35,4.62,5.28,2.66,7.37,3.68
22,Minnesota,Big Ten (West),,9,4,2.13,8.04,10.17,44.07,2.08,10.34,4.77,5.90,2.40,7.19,3.61
23,Iowa,Big Ten (West),23,10,4,0.36,9.09,9.45,42.78,2.43,8.42,4.46,4.95,1.78,6.38,3.22
24,Kansas State,Big 12,,8,5,2.17,6.95,9.12,42.50,4.05,9.98,5.60,6.11,2.36,7.60,3.85
25,Iowa State,Big 12,,7,6,3.01,6.07,9.08,47.87,4.79,9.36,5.31,6.65,2.09,7.92,3.66
26,Boise State,MWC (Mountain),,7,5,1.71,7.14,8.85,44.58,5.36,9.66,5.96,4.45,3.15,6.67,4.50
27,Kentucky,SEC (East),18,10,3,4.42,4.32,8.73,46.63,6.83,9.61,5.53,6.47,2.95,7.69,4.28
28,Air Force,MWC (Mountain),,10,3,4.55,4.15,8.70,44.23,8.77,12.48,5.78,6.04,2.79,6.79,4.54
29,Houston,American,17,12,2,4.13,4.40,8.53,47.07,8.45,9.70,5.24,4.89,2.48,7.01,3.97
30,Western Kentucky,CUSA (East),,9,5,13.71,-5.32,8.39,55.95,17.03,9.85,5.54,5.00,3.49,8.09,4.72
31,Tennessee,SEC (East),,7,6,9.62,-1.65,7.97,56.08,12.67,10.76,5.43,6.31,2.67,7.99,4.02
32,BYU,Ind,19,10,3,6.07,1.22,7.29,47.37,10.93,10.18,5.65,6.03,3.33,7.80,4.50
33,Appalachian State,Sun Belt (East),,10,4,3.94,3.34,7.28,45.78,9.65,9.71,5.70,5.52,3.16,7.22,4.35
34,UCLA,Pac-12 (South),,8,4,9.09,-1.85,7.25,51.89,13.48,9.97,5.54,6.27,2.98,7.72,4.38
35,Nebraska,Big Ten (West),,3,9,2.13,4.97,7.10,47.31,4.68,11.39,4.64,6.03,2.79,8.10,3.82
36,Auburn,SEC (West),,6,7,1.62,5.04,6.66,47.31,4.85,8.93,5.18,6.37,2.53,7.54,3.89
37,Arizona State,Pac-12 (South),,8,5,1.79,4.70,6.49,42.50,7.44,9.79,5.14,6.17,2.72,7.55,3.86
38,San Diego State,MWC (West),25,12,2,0.73,5.65,6.38,39.13,8.13,7.72,4.75,5.21,2.20,6.07,3.92
39,Louisiana,Sun Belt (West),16,13,1,0.77,5.55,6.32,41.11,7.67,8.76,5.46,5.53,3.30,6.83,4.30
40,Oregon,Pac-12 (North),22,10,4,5.23,0.99,6.22,46.99,10.97,9.47,5.21,6.36,2.78,7.61,4.00
